code;label-en_US;allowed_extensions;auto_option_sorting;available_locales;date_max;date_min;decimals_allowed;default_metric_unit;default_value;group;localizable;max_characters;max_file_size;metric_family;minimum_input_length;negative_allowed;number_max;number_min;reference_data_name;scopable;sort_order;type;unique;useable_as_grid_filter;validation_regexp;validation_rule;wysiwyg_enabled
manufacturer_name;"Manufacturer Name";;;;;;;;;options;0;;;;;;;;;0;206;pim_catalog_simpleselect;0;1;;;
special_order;"Special Order";;;;;;;;;options;0;;;;;;;;;0;207;pim_catalog_boolean;0;1;;;
marketing_color;"Marketing Color";;;;;;;;;options;0;;;;;;;;;0;208;pim_catalog_text;0;1;;;
stocked;Stocked;;;;;;;;;options;0;;;;;;;;;0;209;pim_catalog_text;0;1;;;
swatch_file;"Swatch File";;;;;;;;;options;0;;;;;;;;;0;210;pim_catalog_image;0;1;;;
pattern;Pattern;;;;;;;;;options;0;;;;;;;;;0;212;pim_catalog_simpleselect;0;1;;;
hide_swatch;HideSwatch;;;;;;;;;options;0;;;;;;;;;0;213;pim_catalog_textarea;0;1;;;
option_value;"Option Value";;;;;;;;;options;0;;;;;;;;;0;214;pim_catalog_text;0;1;;;
trade_discount;"Trade Discount";;;;;;1;;;pricing;0;;;;;1;;;;0;5;pim_catalog_number;0;1;;;
item_type;"Item Type";;;;;;;;;coreinfo;0;;;;;;;;;0;5;pim_catalog_multiselect;0;1;;;
primary_image;"Primary Image";;;;;;;;;media;0;;;;;;;;;0;9;pim_catalog_image;0;1;;;
lifestyle_image;"Lifestyle Image";;;;;;;;;media;0;;;;;;;;;0;11;pim_catalog_image;0;1;;;
image_1;"Image 1";;;;;;;;;media;0;;;;;;;;;0;13;pim_catalog_image;0;1;;;
image_2;"Image 2";;;;;;;;;media;0;;;;;;;;;0;16;pim_catalog_image;0;1;;;
image_3;"Image 3";;;;;;;;;media;0;;;;;;;;;0;18;pim_catalog_image;0;1;;;
image_4;"Image 4";;;;;;;;;media;0;;;;;;;;;0;20;pim_catalog_image;0;1;;;
image_5;"Image 5";;;;;;;;;media;0;;;;;;;;;0;22;pim_catalog_image;0;1;;;
image_6;"Image 6";;;;;;;;;media;0;;;;;;;;;0;24;pim_catalog_image;0;1;;;
image_7;"Image 7";;;;;;;;;media;0;;;;;;;;;0;26;pim_catalog_image;0;1;;;
image_8;"Image 8";;;;;;;;;media;0;;;;;;;;;0;28;pim_catalog_image;0;1;;;
